Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail
Rindler;Gießelsdorf 34;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2545;
Rossmann;Bierbaum 37;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 3477 2664;office@weinhof-rossmann.at
Rothschädl;Eichberg-Trautenburg 20;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6363;weingut@rothschaedl.com
Rotschaedl;Marhofberg 7;8510;Stainz;AT;Steiermark;Weststeiermark;;
Rupp;Steinriegel 26;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2284;
Sabathi;Obergreith 71;8544;Sankt Martin im Sulmtal;AT;Steiermark;Weststeiermark;+43 3465 2171;
Sabathi Erwin;Pössnitz 48;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 265;weingut@sabathi.com
Sabathi Hannes;Sernau 48;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2900;office@hannessabathi.at
Sabathihof - Dillinger;Rebenweg 142;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 495;familie@sabathihof.com
Sackl Heinz;Neuberg 25;8541;Schwanberg;AT;Steiermark;Weststeiermark;+43 3462 2050;
Sallmann;Gündorf 14;8453;Sankt Johann im Saggautal;AT;Steiermark;Südsteiermark;+43 3456 2414;
Salmhofer;Prebensdorfberg 17;8211;Ilztal;AT;Steiermark;Vulkanland Steiermark;+43 3113 2711;
Salzger;Pörbach 16;8551;Mitterlimberg;AT;Steiermark;Weststeiermark;+43 3466 43692;
Sammer Richard;Stein 144;8282;Loipersdorf bei Fürstenfeld;AT;Steiermark;Vulkanland Steiermark;+43 664 1345228;office@sammer-wein.at
Sammt;Klöch 33;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 664 9354134;info@landhaus-sammt.at
Sattlerhof;Sernau 2;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2556;weingut@sattlerhof.at
Sauer;Gauitsch 10;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2294;info@weinbau-sauer.com
Sax;Prebensdorf 47;8211;Prebensdorf;AT;Steiermark;Vulkanland Steiermark;+43 3113 2814;kontakt@weinhof-sax.at
Schantl;Josef-Haiden-Weg 13;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 3452 74454;
Schatz;Unterfahrenbach 90;8451;Heimschuh;AT;Steiermark;Südsteiermark;+43 3456 2650;info@weingut-schatz.at
Schauer;Greith 21;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 3521;office@weingut-schauer.at
Schellauf;Graberberg 101;8323;Sankt Marein bei Graz;AT;Steiermark;Vulkanland Steiermark;+43 3119 2453;
Scheucher;Otterweg 3 Scheucher;8423;Sankt Veit am Vogau;AT;Steiermark;Südsteiermark;+43 3184 4080;otter@weingut-scheucher.at
Schilcher;Oberfahrenbach 49;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 2629;
Schilcher- Buschenschank Hackl;Langegg 19;8511;Greisdorf;AT;Steiermark;Weststeiermark;+43 3463 6162;
Schilcher-Weinbau Strohmeier;Tombach 36;8544;Sankt Martin im Sulmtal;AT;Steiermark;Weststeiermark;+43 3465 2497;
Schilcherhof;Oberneuburg 154;8225;Pöllau;AT;Steiermark;Vulkanland Steiermark;+43 3335 3454;
Schilcherweinhof Klug-Krainer;Feldbaum 61;8524;Stainz;AT;Steiermark;Weststeiermark;+43 3463 5643;johanneskrainer1@gmail.com
Schilder;Steinreib 27;8511;Greisdorf;AT;Steiermark;Weststeiermark;+43 3463 2454;
Schilhan;Kranach 8;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 6094;office@weingut-schilhan.at
Schirnhofer;Flattendorf 61;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 3332 63327;
Schloss Seggau;Seggauberg 1;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 676 83824600;lechenauer@seggau.com
Schlögl;Mirnsdorf 30;8422;St. Veit/Südsteiermark;AT;Steiermark;Südsteiermark;+43 3184 3204;office@weingut-schloegl.at
Schmidt;St. Ulrich im Greith 48;8544;Sankt Martin im Sulmtal;AT;Steiermark;Weststeiermark;+43 3465 2466;schmidt.weinbau@aon.at
Schmölzer;Sausal 72;8444;Sankt Andrä-Höch;AT;Steiermark;Südsteiermark;+43 3185 8247;info@weingut-schmoelzer.at
Schnabel Karl;Maierhof 34 Schnabel Karl;8443;Gleinstätten;AT;Steiermark;Südsteiermark;+43 676 6961508;office@karl-schnabel.at
Schnabl;Sernau 6;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 4625357;office@weingut-schnabl.at
Schneeberger;Pernitschstrasse 31;8451;Heimschuh;AT;Steiermark;Südsteiermark;+43 3452 83934;office@weingut-schneeberger.at
Schneiderannerl;Sausal 27;8443;Gleinstätten;AT;Steiermark;Südsteiermark;+43 3457 2581;kolb@schneiderannerl.at
Schober (Giesselsdorf);Giesselsdorf 102;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2479;
Schober (Langegg);Langegg 26;8511;Greisdorf;AT;Steiermark;Weststeiermark;+43 3462 6260;
Schrei;Fotschach 51;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 210;
Schriebl;Marhofberg 17;8510;Stainz;AT;Steiermark;Weststeiermark;+43 3463 2277;
Schuiki;Aichegg 10;8541;Schwanberg;AT;Steiermark;Weststeiermark;+43 3467 8534;
Schuster-Tegl;Klöchberg 96;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2296;info@schuster-wein.at
Schwar;Neu Reiteregg 56;8151;Hitzendorf;AT;Steiermark;;+43 3137 3025;
Schwarz;Greith, 35;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 3064;wschwarz81@gmx.at
Schwarzl;Arnfelser Strasse 12;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 238;familie@schwarzl-weine.com
Schwarzl Johann u. Erika;Neusetz 44;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7046;office@stoecklwirt.at
Schwarzl Johannes & MB;Ottenberg 32;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2820;office@gutschwarzl.at
Seidl (Frutten);Frutten 22;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2380;info@weinhof-seidl.at
Seidl (Schildbach);Schildbach 21;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 3332 62778;info@seidlwein.at
Seiner;Langegg 21;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 6434;kontakt@weinbauseiner.at
Seyfried;Kaltenbrunn 11;8200;Gleisdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 3338508;kontakt@weinhof-seyfried.at
Signum Blanc OG;Schloßberg 46;8463;Leutschach;AT;Steiermark;Südsteiermark;+43 1 496442821;martin.oertel@signum-blanc.wine
Silberberg Landesweingut;Silberberg 1;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 3452 8233945;weinkeller.lfssilberberg@stmk.gv.at
Silberschneider;Eichberg-Trautenburg 62;8454;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3455 465;fam.silberschneider@aon.at
Silly (Stammeregg);Stammeregg 15;8552;Eibiswald;AT;Steiermark;Weststeiermark;+43 3466 42715;
Silly (Neudorf);Neudorf 5;8424;Gabersdorf;AT;Steiermark;Südsteiermark;+43 3452 73800;info@puresleben.at
Simmerl-Klimbacher;Klöchberg 6;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2294;
Simmler;Simmlerweg 26;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 3332 63926;
Skergeth;Eckberg 34;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 32305;
Skoff Heike;Kranach 96;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 4250;info@skoff-buschenschank.at
Skoff Original - Walter Skoff;Eckberg 16;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 4243;sales@skofforiginal.com
Skoff Peter - Domäne Kranachberg;Kranachberg 50 - Sauvignonweg;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3454 6104;weingut@peter-skoff.at
Skringer;Eichberg-Trautenburg 28;8453;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3456 2666;weingut@skringer.at
Sorger;Patzen 11;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 664 1345861;wein@weinhof-sorger.at
Spari;Neuberg 108;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81985;
Stani Hannes;Kranach 80;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 1345680;weingut.stani@gmail.com
Steiner;Labitschberg 40;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 4054;weinbau-steiner@aon.at
Stelzl (St. Johann);St. Johann 13;8453;Sankt Johann im Saggautal;AT;Steiermark;Südsteiermark;+43 3453 325;
Stelzl (Oberfahrenbach);Oberfahrenbach 29;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3454 380;
Stelzl Hirritschberg;Schlossberg 119;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 340;
Stern-Ponigl;Rohrbach 51;8151;Hitzendorf;AT;Steiermark;;+43 3123 2278;
Sternat;Eichberg-Trautenburg 94;8454;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 1512859;weingut@sternat.at
Sternat-Lenz;Remschnigg 17;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3455 7693;weingut@sternat-lenz.com
Stocker (Übersbach);Übersbach 64;8280;Fürstenfeld;AT;Steiermark;Vulkanland Steiermark;+43 3382 53600;weingut.stocker@gmx.at
Stocker (Neudorf);Neudorf 6;8561;Söding-Sankt Johann;AT;Steiermark;Weststeiermark;+43 3137 3305;office@weinhof-stocker.at
Stocker (Oberlamm);Oberlamm 43;8352;Unterlamm;AT;Steiermark;Vulkanland Steiermark;+43 3155 8180;
Stoff;Brudersegg 6;8441;Fresing;AT;Steiermark;Südsteiermark;+43 3456 2597;office@weingutstoff.at
Strablegg;Narrath 10;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 2326;
Strablegg-Leitner;Eichberg- Trautenburg, 54;8454;Eichberg-Trautenburg;AT;Steiermark;Südsteiermark;+43 676 4504405;weingut@strablegg-leitner.at
Stradl-Fürst-Pommer;Neuberg 64;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81727;
Strauss;Petzles 6;8505;Sankt Nikolai im Sausal;AT;Steiermark;Weststeiermark;+43 3456 3485;office@strauss-sausal.at
Karl & Gustav Strauss;Steinbach 16;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 4424128;office@weingut-strauss.at
Strohmaier Thomas;Brunn 41;8544;Pölfing-Brunn;AT;Steiermark;Weststeiermark;+43 664 4513945;weingut.strohmaier@aon.at
Strohmeier (Eichberg);Eichberg 71;8453;Sankt Johann im Saggautal;AT;Steiermark;Südsteiermark;+43 3455 6501;
Strohmeier (Haslach);Haslach 14;8413;St.Georgen an der Stiefing;AT;Steiermark;Südsteiermark;+43 3183 7196;weingut@strohmeier.st
Sudy;Entschendorf 25;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 3477 2011;h_sudy@gmx.net
Sutter;Rassach 45;8510;Rassach;AT;Steiermark;Weststeiermark;+43 3463 2478;
Söll;Steinbach 63a;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3454 6667;familie@weingut-soell.at
Tauchmann;Tautendorf 37;8362;Söchau;AT;Steiermark;Vulkanland Steiermark;+43 3387 2486;info@weinhof-tauchmann.at
Tauss;Schlossberg 80;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6715;info@weingut-tauss.at
Teltscher;Fötschach 118;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 356;weingut@teltscher.at
Teltseher;Glanz;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 356;
Tement;Zieregg 13;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 41010;weingut@tement.at
Temmel;Sausal 57;8444;Sankt Andrä-Höch;AT;Steiermark;Südsteiermark;+43 3185 8235;weinguttemmel@aon.at
Thaler;Wagerberg 174 Thaler;8271;Bad Waltersdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 4801396;office@weinhof-thaler.at
Weinschloss Thaller;Maierhofbergen 24;8263;Großwilfersdorf;AT;Steiermark;Vulkanland Steiermark;+43 3387 2924;office@weinschloss-thaller.at
Theussl Ingrid u. Franz;Am Weinberg 18;8541;Schwanberg;AT;Steiermark;Weststeiermark;+43 3467 7084;
Thurner-Seebacher;Pichla 38;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2290;weinhof@thurner-seebacher.at
Tinnauer;Labitschberg 42;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2391;info@tinnauer.com
Tomaschitz;Gruisla 41;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2286;weinhof-tomaschitz@aon.at
Tomaschitz Anton;Deutsch Haseldorf 9;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 7213;hptomaschitz@gmx.at
Tomaschitz Emmerich;Deutsch Haseldorf 9;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 7213;
Tomberger;Aichegg 49;8541;Schwanberg;AT;Steiermark;Weststeiermark;+43 3467 8944;
Toni Peter;Gersdorf 21;8524;Stainz;AT;Steiermark;Weststeiermark;+43 3463 3354;admin@weinbautonipeter.at
Toso;Kranach 75;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6853;toso@rebenland.at
Totter Josef;Jagerberg 24;8091;Jagerberg;AT;Steiermark;;+43 660 2197950;josef.totter@gmx.at
Trabos (Kranachberg);Kranachberg 30;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3454 430;weingut@trabos.at
Trabos (Kranach);Kranach 44;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 9489956;
Trapl;Lestein 40;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81082;office@weingut-trapl.at
Triebl;Gießelsdorf 42;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 664 9980661;wein@triebl.com
Tropper Weine;Marktl 31;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 664 1533111;info@wein-tropper.at
Trummer (Pessaberg);Pessaberg 26;8422;St. Veit/Südsteiermark;AT;Steiermark;Südsteiermark;+43 1 2495475980;willkommen@weingut-trummer.at
Trummer (Landdorf);Landdorf 18;8092;Mettersdorf am Saßbach;AT;Steiermark;;+43 3477 2478;
Trummer Jürgen;Am Obegg 1;8472;Spielfeld;AT;Steiermark;Südsteiermark;+43 664 5663748;info@trummerwein.at
Trunk (Sulztal);Sulztal 47;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 20813;info@weingut-trunk.at
Trunk (Fötschach);Fötschach 14;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6466;
Buschenschank Tscheppe;Fötschach 127;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 395;buschenschanktscheppe@gmail.com
Tscheppe am Pössnitzberg;Pössnitz 168;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 205;gut@poessnitzberg.at
Tschermonegg;Glanz 50;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 326;weingut@tschermonegg.at
Tscherne Strauss Weinschmiede 18;Steinbach 18;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 3925965;willkommen@weinschmiede18.at
Uhl;Ratsch an der Weinstraße 141;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 6044;mail@weingut-uhl.at
Ulrich;Plesch 26;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2290;wein@weinhof-ulrich.at
Ulz;Hauptplatz 2;8510;Stainz;AT;Steiermark;Weststeiermark;+43 3463 2216;ulz.tracht-wein@aon.at
Urbanikeller Maitz;Nr. 100;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 5339;maitz@urbanikeller.at
Urbi;Breitenbuch 55;8082;Kirchbach-Zerlach;AT;Steiermark;;+43 3116 2340;urbi@buschenschank.at
Vollmaier;Gundersdorf 45;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81826;info@steirischerschilcher.at
Vonmetz;Trössing 1;8342;Gnas;AT;Steiermark;Vulkanland Steiermark;+43 3477 3496;
Wachstum König;Kittenbergstraße 25;8451;Heimschuh;AT;Steiermark;Südsteiermark;+43 664 5046745;servus@wachstumkoenig.at
Waldmann;Aschbach 2;8362;Söchau;AT;Steiermark;Vulkanland Steiermark;+43 664 1385979;zentrale@weingut-waldmann.at
Warga-Hack;Höch 60;8441;Sankt Andrä-Höch;AT;Steiermark;Südsteiermark;+43 664 9216956;biowein@warga-hack.at
Wassermann Wirt;Reinischkogel 8;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3143 8113;gasthof@wassermann-wirt.at
Weber (Großklein);Großklein 35;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 3434;info@weber-grossklein.at
Weber (Lestein);Lestein 73;8511;Stainz;AT;Steiermark;Weststeiermark;+43 664 73652695;office@weingutweber.at
Wechtitsch;Oberfahrenbach 43;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3454 354;
Weinatelier Johannes Ohrnhofer-Zisser;Trautmannsdorf 4;8343;Bad Gleichenberg;AT;Steiermark;Vulkanland Steiermark;+43 664 9605023;office@weinatelier.at
Weinbau Sommer;Übersbach 18;8362;Fürstenfeld;AT;Steiermark;Vulkanland Steiermark;;weinbau.sommer@gmail.com
Moik Weine;Radochen 10;8484;Straden;AT;Steiermark;Vulkanland Steiermark;+43 664 1509944;office@moik-weine.at
Weinerlebnis Martin Wippel;Hofberg 67;8333;Riegersburg;AT;Steiermark;Vulkanland Steiermark;+43 664 1050802;office@weinerlebnis-wippel.at
Weingerl Ingrid;Deutsch-Haseldorf 35;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2429;
Weingut Edelsbrunner;Hof bei Straden 87;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 664 1270845;bernd@weingut-edelsbrunner.at
Weingut Masser;Fötschach 41;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 467;weingut@masser.cc
Weinhof Durlacher;Floing 9;8183;Floing;AT;Steiermark;;;mail@durlacher-wein-obsthof.at
Weinhof der Vielfalt;Herrnberg 22;8263;Großwilfersdorf;AT;Steiermark;Vulkanland Steiermark;+43 3385 7459;tamara@windisch-wein.at
Weinrefugium;Eckberg 54;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 4212;info@weinrefugium.at
Weiss;Jörgen 9;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2336;
Weiss - Welle;Glanz 28;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 243;info@weiss-welle.at
Wenzl;Marhofberg 14;8510;Stainz;AT;Steiermark;Weststeiermark;+43 3463 2280;
Werlitsch;Glanz 75;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 391;office@werlitsch.com
Werschnegg;Kranachberg 24;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3454 410;
Müller vlg. Wiedersilli;Gaisseregg 38;8551;Wies;AT;Steiermark;Weststeiermark;+43 664 3517902;office@wiedersilli.at
Wiedner;Hof 1;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 267;
Wiednermichl-Franz Hohl;Krottendorf 38;8564;Krottendorf-Gaisfeld;AT;Steiermark;Weststeiermark;+43 676 6104156;
Wieser;Kranach 10;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 359;info@wieser-weine.at
Wildbacher;Eichberg-Trautenburg 56;8454;Arnfels;AT;Steiermark;Südsteiermark;+43 3455 20723;thomas.wildbacher@aon.at
Winkler;Klöchberg 76;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 7274;weinbau-winkler@aon.at
Winkler-Hermaden;Kapfenstein 106;8353;Kapfenstein;AT;Steiermark;Vulkanland Steiermark;+43 3157 2322;weingut@winkler-hermaden.at
Winter Peter;Neudorf 10;8152;Stallhofen;AT;Steiermark;;;
Wohlmuth;Fresing 24;8441;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2303;wein@wohlmuth.at
Wolf;Plesch 21;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2428;
Domaine Wolf;Steinbach 35;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 720 883309;office@domainewolf.com
Wonisch;Gruisla 16;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2436;
Wratschko;Marktplatz 9;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2647;weingut@wratschko.at
Wratschko-Merdonik;Eckberg 67;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 6154;
Wruss;Kranach 74;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 2029078;post@weingut-wruss.at
Wurzinger (Leibnitzerstraße);Leibnitzerstraße 36;8403;Lebring-Sankt Margarethen;AT;Steiermark;Südsteiermark;+43 3182 7128;
Wurzinger (Waldsberg);Waldsberg 34;8344;Bad Gleichenberg;AT;Steiermark;Vulkanland Steiermark;+43 3159 2835;info@weinbau-wurzinger.at
Wutte;Fresing 34;8441;Fresing;AT;Steiermark;Südsteiermark;+43 664 4567904;buschenschank@weingut-wutte.at
Wutti;Eichberg-Trautenburg 87;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 301;
Zeck;Eichberg 64;8453;Sankt Johann im Saggautal;AT;Steiermark;Südsteiermark;+43 3456 3038;sandra.zeck@gmx.at
Zitz Josefine;Eichberg- Trautenburg 31;8453;Sankt Johann im Saggautal;AT;Steiermark;Südsteiermark;;
Zitz-Siegl;Narrath 11;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 27374;zitz-wein@aon.at
Zweytick;Ratsch 7;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2751;
Der Zweytick;Unterlupitscheni 49;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 4414044;weingut@zweytick.at
Ewald Zweytick;Ratsch 102;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 8315380;ez@ewaldzweytick.at
Zöhrer;Klapping 18;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2404;
gustl & franz;Frutten 20;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 664 1235377;info@gustl-franz.at
im Gwölb;Prentlstraße 2;8490;Bad Radkersburg;AT;Steiermark;Vulkanland Steiermark;+43 3476 41551;imgwoelb@gmx.at
oberGuess;Schlossberg 9;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 4380838;office@oberguess.com
